Day/hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
194,5.515333333,6.458,20.16753333,77.33213333,99.15946667,99.81066667,100,100,100,100,100,100,100,99.808,87.06826667,54.44133333,28.45023333,23.28933333,11.99043333,2.738666667,1.528,3.793333333,2.042666667,3.784
195,60.47793333,53.23173333,97.25236667,94.17166667,96.94266667,99.422,99.936,99.488,100,100,100,99.882,100,94.69326667,39.05253333,28.38983333,17.44133333,7.279333333,0.6352,0,0,0.1128,10.45173333,38.37093333
196,13.70163333,0.7376,52.47573333,33.70503333,28.88813333,71.75403333,46.07493333,38.71823333,48.19173333,36.07573333,16.22873333,6.406666667,8.209233333,0.850666667,6.92,5.38,19.13553333,23.22053333,40.06053333,50.61093333,47.09973333,55.65393333,84.43786667,98.0402
197,99.57,99.74466667,94.53026667,100,99.81266667,42.86613333,56.57853333,100,100,100,100,99.91466667,96.31783333,71.89473333,30.71523333,52.69413333,47.77173333,55.02933333,62.56833333,78.13586667,91.708,97.5186,99.432,99.61933333
198,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.65333333,95.0573,95.08446667,94.96493333,90.53893333,83.34186667,87.23266667,94.226
199,97.14913333,99.448,100,100,100,100,100,100,99.926,100,100,99.994,99.65666667,99.542,99.27356667,95.45936667,78.04453333,67.11093333,54.99573333,47.68773333,54.22293333,62.91003333,65.60343333,73.76403333
200,81.00373333,85.0224,95.7093,99.61266667,100,100,100,99.75066667,99.55933333,99.65,99.3116,96.20373333,92.0368,93.44333333,53.75253333,92.84053333,73.26153333,44.37813333,30.65483333,27.52913333,22.33473333,20.37393333,30.57933333,34.36943333
201,55.04613333,71.97513333,82.59293333,99.33333333,99.55,99.28986667,99.45333333,99.87866667,100,100,99.70866667,99.74,98.4314,97.2252,92.98666667,95.04643333,87.41533333,76.43706667,57.86493333,50.42613333,46.10853333,43.57173333,43.35333333,54.34053333
202,71.97513333,94.60633333,96.1005,99.71333333,99.678,100,100,100,100,100,100,99.75333333,99.52266667,97.02416667,87.324,81.05853333,72.41733333,60.25683333,50.54373333,39.72453333,32.51213333,37.72163333,44.09253333,49.95573333
203,57.02073333,84.2004,97.96413333,99.79733333,99.93533333,100,100,100,100,100,100,100,100,99.35066667,36.54383333,50.07333333,67.67373333,46.98213333,49.06533333,45.10053333,39.20373333,35.16973333,38.15953333,42.19413333
204,56.88003333,61.94523333,94.3727,99.72733333,99.962,100,100,100,100,100,100,100,100,100,86.37413333,79.90773333,81.4056,85.38773333,73.96503333,69.72393333,53.66853333,43.16853333,44.15973333,40.85013333
205,50.37573333,57.74433333,94.2749,99.69266667,100,100,100,100,100,100,100,99.614,99.82866667,97.49686667,53.11413333,65.44263333,51.51813333,36.21163333,26.53253333,20.07293333,19.56553333,21.85313333,23.22053333,25.11313333
206,26.44193333,40.66533333,52.45893333,79.46933333,92.34733333,99.63,99.96133333,99.852,99.59733333,97.54033333,96.99156667,36.15123333,19.47093333,9.651333333,3.788666667,6.140666667,7.312,3.306666667,1.602666667,2.056,3.886666667,7.727333333,17.77673333,11.87313333
